city,state
New York,NY
Los Angeles,CA
Chicago,IL
Houston,TX
Phoenix,AZ
Philadelphia,PA
San Antonio,TX
San Diego,CA
Dallas,TX
San Jose,CA
Austin,TX
Jacksonville,FL
Fort Worth,TX
Columbus,OH
Charlotte,NC
San Francisco,CA
Indianapolis,IN
Seattle,WA
Denver,CO
Washington,DC
Boston,MA
El Paso,TX
Nashville,TN
Detroit,MI
Portland,OR
Memphis,TN
Oklahoma City,OK
Las Vegas,NV
Louisville,KY
Baltimore,MD
Milwaukee,WI
Albuquerque,NM
Tucson,AZ
Fresno,CA
Sacramento,CA
Kansas City,MO
Mesa,AZ
Atlanta,GA
Omaha,NE
Raleigh,NC
Miami,FL
Long Beach,CA
Virginia Beach,VA
Oakland,CA
Minneapolis,MN
Tulsa,OK
Tampa,FL
Arlington,TX
New Orleans,LA
Wichita,KS
